Date,Numbers,Lucky Stars,Payouts,Rolled
Tuesday 29th Dec 2020,"7, 32, 39, 40, 45","3, 8","£25,557,847
Rolled",True
Friday 25th Dec 2020,"16, 21, 27, 30, 32","3, 5","£15,595,800
Rolled",True
Tuesday 22nd Dec 2020,"2, 10, 16, 42, 50","4, 11","£39,844,969",False
Friday 18th Dec 2020,"2, 3, 13, 17, 21","7, 8","£28,785,119
Rolled",True
Tuesday 15th Dec 2020,"9, 13, 21, 29, 35","1, 2","£15,398,600
Rolled",True
Friday 11th Dec 2020,"6, 9, 13, 24, 41","3, 12","£183,120,000",False
Tuesday 8th Dec 2020,"1, 4, 21, 24, 46","2, 12","£181,500,000
Rolled",True
Friday 4th Dec 2020,"14, 20, 27, 34, 38","1, 11","£180,800,000
Rolled",True
Tuesday 1st Dec 2020,"14, 20, 29, 47, 49","4, 12","£160,906,372
Rolled",True
Friday 27th Nov 2020,"2, 5, 8, 14, 16","8, 9","£146,729,731
Rolled",True
Tuesday 24th Nov 2020,"25, 33, 38, 42, 50","8, 12","£128,449,942
Rolled",True
Friday 20th Nov 2020,"28, 29, 39, 48, 50","5, 7","£116,103,000
Rolled",True
Tuesday 17th Nov 2020,"16, 19, 25, 30, 44","2, 6","£69,354,137
Rolled",True
Friday 13th Nov 2020,"1, 5, 17, 28, 31","1, 10","£60,684,475
Rolled",True
Tuesday 10th Nov 2020,"3, 19, 29, 32, 38","5, 12","£45,088,804
Rolled",True
Friday 6th Nov 2020,"7, 12, 37, 40, 50","1, 2","£36,006,084
Rolled",True
Tuesday 3rd Nov 2020,"5, 7, 18, 20, 30","6, 7","£23,844,506
Rolled",True
Friday 30th Oct 2020,"12, 16, 20, 21, 28","3, 9","£15,301,700
Rolled",True
Tuesday 27th Oct 2020,"13, 15, 28, 32, 44","3, 12","£79,315,197.70",False
Friday 23rd Oct 2020,"10, 15, 19, 21, 23","3, 12","£70,979,568
Rolled",True
Tuesday 20th Oct 2020,"5, 6, 15, 37, 42","3, 4","£59,778,232
Rolled",True
Friday 16th Oct 2020,"15, 33, 38, 40, 50","3, 6","£49,383,832
Rolled",True
Tuesday 13th Oct 2020,"5, 14, 38, 41, 46","1, 10","£36,618,665
Rolled",True
Friday 9th Oct 2020,"11, 15, 35, 41, 50","5, 8","£27,489,353
Rolled",True
Tuesday 6th Oct 2020,"4, 21, 36, 41, 47","9, 11","£15,485,300
Rolled",True
Friday 2nd Oct 2020,"6, 12, 15, 40, 45","3, 9","£27,761,091",False
Tuesday 29th Sep 2020,"4, 14, 16, 41, 44","11, 12","£15,531,200
Rolled",True
Friday 25th Sep 2020,"19, 23, 34, 37, 45","1, 7","£118,729,000",False
Tuesday 22nd Sep 2020,"16, 25, 28, 39, 40","1, 6","£71,063,522
Rolled",True
Friday 18th Sep 2020,"2, 10, 19, 25, 45","1, 7","£61,732,489
Rolled",True
Tuesday 15th Sep 2020,"16, 20, 25, 30, 38","6, 8","£47,250,235
Rolled",True
Friday 11th Sep 2020,"34, 38, 42, 43, 45","9, 12","£37,525,275
Rolled",True
Tuesday 8th Sep 2020,"2, 9, 31, 35, 41","9, 12","£24,534,097
Rolled",True
Friday 4th Sep 2020,"6, 22, 29, 40, 43","4, 7","£15,174,200
Rolled",True
Tuesday 1st Sep 2020,"4, 8, 10, 33, 46","8, 11","£139,992,069",False
Friday 28th Aug 2020,"7, 12, 16, 17, 31","7, 9","£126,895,018
Rolled",True
Tuesday 25th Aug 2020,"7, 18, 30, 37, 39","8, 10","£112,618,069
Rolled",True
Friday 21st Aug 2020,"10, 15, 35, 44, 50","3, 5","£100,807,281
Rolled",True
Tuesday 18th Aug 2020,"6, 12, 17, 34, 42","5, 12","£87,266,444
Rolled",True
Friday 14th Aug 2020,"9, 10, 19, 42, 49","4, 12","£77,977,112
Rolled",True
Tuesday 11th Aug 2020,"8, 13, 14, 42, 50","3, 9","£66,130,274
Rolled",True
Friday 7th Aug 2020,"5, 20, 21, 36, 41","6, 11","£57,863,944
Rolled",True
Tuesday 4th Aug 2020,"1, 2, 5, 15, 42","5, 8","£44,373,299
Rolled",True
Friday 31st Jul 2020,"21, 24, 30, 46, 49","2, 5","£35,077,775
Rolled",True
Tuesday 28th Jul 2020,"9, 13, 15, 17, 34","2, 7","£23,795,774
Rolled",True
Friday 24th Jul 2020,"8, 9, 27, 28, 50","4, 12","£15,483,600
Rolled",True
Tuesday 21st Jul 2020,"14, 15, 24, 29, 42","2, 4","£44,865,863",False
Friday 17th Jul 2020,"7, 15, 27, 41, 43","7, 9","£35,838,894
Rolled",True
Tuesday 14th Jul 2020,"11, 22, 30, 37, 47","9, 10","£24,013,488
Rolled",True
Friday 10th Jul 2020,"15, 17, 23, 30, 38","2, 7","£15,225,200
Rolled",True
Tuesday 7th Jul 2020,"12, 16, 23, 33, 41","8, 10","£130,059,174",False
Friday 3rd Jul 2020,"4, 16, 27, 37, 39","3, 6","£117,260,000
Rolled",True
Tuesday 30th Jun 2020,"1, 6, 11, 28, 42","2, 10","£56,510,237
Rolled",True
Friday 26th Jun 2020,"1, 10, 12, 21, 26","5, 11","£46,859,882
Rolled",True
Tuesday 23rd Jun 2020,"2, 12, 19, 46, 49","1, 8","£34,732,623
Rolled",True
Friday 19th Jun 2020,"5, 14, 19, 24, 43","3, 11","£26,333,468
Rolled",True
Tuesday 16th Jun 2020,"4, 9, 11, 17, 39","2, 10","£15,245,600
Rolled",True
Friday 12th Jun 2020,"2, 24, 39, 45, 46","4, 8","£46,399,553",False
Tuesday 9th Jun 2020,"5, 15, 27, 36, 46","2, 8","£34,451,775
Rolled",True
Friday 5th Jun 2020,"5, 11, 17, 24, 37","3, 6","£25,999,539
Rolled",True
Tuesday 2nd Jun 2020,"10, 12, 22, 26, 49","7, 11","£15,148,700
Rolled",True
Friday 29th May 2020,"4, 8, 11, 19, 46","4, 8","£15,294,900",False
Tuesday 26th May 2020,"4, 9, 14, 21, 27","4, 6","£16,530,705.70",False
Friday 22nd May 2020,"3, 18, 22, 27, 32","2, 7","£25,387,006
Rolled",True
Tuesday 19th May 2020,"5, 25, 32, 37, 43","6, 7","£15,170,800
Rolled",True
Friday 15th May 2020,"11, 23, 32, 34, 39","1, 6","£65,175,962",False
Tuesday 12th May 2020,"9, 16, 29, 37, 39","4, 11","£56,472,701
Rolled",True
Friday 8th May 2020,"8, 25, 32, 33, 38","7, 9","£49,837,132
Rolled",True
Tuesday 5th May 2020,"2, 10, 22, 27, 41","2, 3","£42,596,857
Rolled",True
Friday 1st May 2020,"19, 20, 38, 45, 47","2, 6","£36,228,690
Rolled",True
Tuesday 28th Apr 2020,"15, 23, 26, 28, 32","1, 5","£28,167,968
Rolled",True
Friday 24th Apr 2020,"1, 5, 19, 21, 28","4, 7","£22,310,697
Rolled",True
Tuesday 21st Apr 2020,"10, 11, 14, 23, 28","6, 8","£15,026,300
Rolled",True
Friday 17th Apr 2020,"16, 28, 32, 37, 45","1, 11","£58,366,487.50",False
Tuesday 14th Apr 2020,"6, 29, 34, 35, 40","4, 11","£51,538,058
Rolled",True
Friday 10th Apr 2020,"3, 10, 17, 33, 39","1, 4","£46,937,085
Rolled",True
Tuesday 7th Apr 2020,"4, 5, 14, 33, 48","7, 12","£40,506,751
Rolled",True
Friday 3rd Apr 2020,"16, 19, 34, 46, 50","2, 6","£34,546,128
Rolled",True
Tuesday 31st Mar 2020,"12, 17, 24, 30, 36","1, 9","£27,308,650
Rolled",True
Friday 27th Mar 2020,"11, 14, 27, 41, 46","2, 3","£22,095,531
Rolled",True
Tuesday 24th Mar 2020,"7, 12, 26, 30, 33","10, 11","£15,621,300
Rolled",True
Friday 20th Mar 2020,"3, 9, 20, 34, 40","6, 12","£15,696,100",False
Tuesday 17th Mar 2020,"5, 7, 8, 16, 20","2, 12","£57,869,670",False
Friday 13th Mar 2020,"3, 11, 21, 27, 36","9, 10","£50,321,191
Rolled",True
Tuesday 10th Mar 2020,"11, 23, 30, 37, 43","5, 12","£35,567,254
Rolled",True
Friday 6th Mar 2020,"15, 38, 43, 45, 46","1, 11","£26,423,336
Rolled",True
Tuesday 3rd Mar 2020,"4, 14, 27, 44, 45","1, 10","£14,841,000
Rolled",True
Friday 28th Feb 2020,"8, 11, 20, 22, 23","3, 4","£57,826,962",False
Tuesday 25th Feb 2020,"1, 4, 18, 27, 42","4, 6","£43,515,336
Rolled",True
Friday 21st Feb 2020,"7, 23, 30, 32, 45","5, 9","£34,421,724
Rolled",True
Tuesday 18th Feb 2020,"11, 32, 34, 38, 47","2, 10","£22,469,712
Rolled",True
Friday 14th Feb 2020,"5, 20, 35, 41, 49","6, 10","£14,140,600
Rolled",True
Tuesday 11th Feb 2020,"24, 26, 32, 43, 46","6, 10","£14,342,900",False
Friday 7th Feb 2020,"9, 15, 17, 25, 40","3, 9","£110,500,000",False
Tuesday 4th Feb 2020,"21, 23, 33, 35, 47","6, 7","£34,634,832
Rolled",True
Friday 31st Jan 2020,"13, 18, 20, 23, 30","2, 4","£24,336,652
Rolled",True
Tuesday 28th Jan 2020,"1, 19, 27, 31, 38","4, 5","£14,409,200
Rolled",True
Friday 24th Jan 2020,"3, 4, 6, 9, 24","5, 8","£24,139,851",False
Tuesday 21st Jan 2020,"10, 11, 24, 36, 46","3, 5","£14,463,600
Rolled",True
Friday 17th Jan 2020,"8, 19, 20, 29, 44","3, 8","£85,964,733",False
Tuesday 14th Jan 2020,"21, 25, 29, 39, 44","8, 9","£78,000,490
Rolled",True
Friday 10th Jan 2020,"6, 17, 32, 44, 46","2, 6","£71,717,560
Rolled",True
Tuesday 7th Jan 2020,"5, 8, 12, 37, 43","6, 11","£64,021,946
Rolled",True
Friday 3rd Jan 2020,"5, 15, 20, 36, 47","8, 12","£55,523,057
Rolled",True
Friday 31st Dec 2021,"7, 22, 25, 43, 49","6, 7","£14,788,260",False
Tuesday 28th Dec 2021,"4, 6, 15, 17, 29","9, 12","£66,903,928",False
Friday 24th Dec 2021,"2, 26, 28, 34, 41","5, 10","£58,741,896
Rolled",True
Tuesday 21st Dec 2021,"12, 17, 21, 34, 38","2, 3","£44,829,384
Rolled",True
Friday 17th Dec 2021,"1, 2, 15, 30, 35","2, 7","£35,175,553
Rolled",True
Tuesday 14th Dec 2021,"19, 21, 37, 47, 48","3, 6","£23,257,356
Rolled",True
Friday 10th Dec 2021,"11, 21, 33, 38, 42","2, 8","£14,518,000
Rolled",True
Tuesday 7th Dec 2021,"22, 31, 38, 46, 47","7, 11","£122,150,223",False
Friday 3rd Dec 2021,"21, 22, 29, 32, 46","9, 10","£111,176,000
Rolled",True
Tuesday 30th Nov 2021,"19, 20, 26, 33, 43","1, 4","£14,501,000
Rolled",True
Friday 26th Nov 2021,"1, 20, 41, 42, 50","3, 7","£137,864,547",False
Tuesday 23rd Nov 2021,"17, 21, 36, 42, 46","7, 10","£122,108,668
Rolled",True
Friday 19th Nov 2021,"22, 26, 38, 47, 50","2, 6","£111,127,331
Rolled",True
Tuesday 16th Nov 2021,"9, 19, 21, 32, 36","3, 4","£98,160,844
Rolled",True
Friday 12th Nov 2021,"2, 9, 15, 47, 50","6, 9","£89,439,998
Rolled",True
Tuesday 9th Nov 2021,"17, 25, 26, 33, 36","1, 8","£77,468,576
Rolled",True
Friday 5th Nov 2021,"2, 12, 25, 30, 41","8, 11","£68,724,444
Rolled",True
Tuesday 2nd Nov 2021,"2, 3, 17, 29, 43","1, 4","£57,114,246
Rolled",True
Friday 29th Oct 2021,"10, 15, 28, 32, 49","3, 9","£47,441,476
Rolled",True
Tuesday 26th Oct 2021,"12, 15, 20, 42, 44","1, 2","£34,759,941
Rolled",True
Friday 22nd Oct 2021,"12, 17, 22, 33, 39","2, 12","£26,052,151
Rolled",True
Tuesday 19th Oct 2021,"4, 20, 36, 40, 41","1, 6","£14,348,000
Rolled",True
Friday 15th Oct 2021,"21, 26, 31, 34, 49","2, 5","£185,548,000",False
Tuesday 12th Oct 2021,"6, 13, 22, 45, 49","10, 11","£186,780,000
Rolled",True
Friday 8th Oct 2021,"1, 10, 23, 42, 46","3, 5","£174,236,090
Rolled",True
Tuesday 5th Oct 2021,"11, 13, 14, 36, 45","7, 9","£153,912,260
Rolled",True
Friday 1st Oct 2021,"1, 15, 19, 26, 48","6, 12","£140,503,213
Rolled",True
Tuesday 28th Sep 2021,"6, 7, 12, 33, 39","1, 7","£124,787,147
Rolled",True
Friday 24th Sep 2021,"2, 12, 20, 27, 41","10, 12","£111,514,000
Rolled",True
Tuesday 21st Sep 2021,"20, 25, 26, 30, 38","2, 8","£43,202,295
Rolled",True
